workclass,education,marital_status,occupation,capital_gain,capital_loss,hours_per_week
Private,Some-college,Never-married,Other-service,0,0,40
Private,Assoc-acdm,Married-civ-spouse,Craft-repair,0,0,50
Local-gov,Some-college,Divorced,Craft-repair,0,0,42
Private,5th-6th,Married-civ-spouse,Transport-moving,0,0,50
Private,Bachelors,Never-married,Prof-specialty,0,0,46
State-gov,Doctorate,Married-civ-spouse,Prof-specialty,0,0,40
Local-gov,HS-grad,Never-married,Handlers-cleaners,0,0,40
Private,Doctorate,Divorced,Sales,0,0,50
Private,11th,Never-married,Other-service,0,0,15
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0,0,40
Private,HS-grad,Divorced,Handlers-cleaners,0,0,40
Private,Some-college,Married-civ-spouse,Craft-repair,2407,0,65
State-gov,Some-college,Married-civ-spouse,Protective-serv,0,0,70
Private,Assoc-voc,Married-civ-spouse,Other-service,0,0,40
Private,11th,Divorced,Craft-repair,0,1876,46
Self-emp-not-inc,HS-grad,Never-married,Craft-repair,99999,0,50
Private,HS-grad,Never-married,Other-service,0,0,40
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,0,1848,50
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,0,0,40
Private,Some-college,Never-married,Prof-specialty,0,0,40
Private,HS-grad,Divorced,Adm-clerical,0,0,40
Private,Some-college,Never-married,Other-service,0,0,8
Private,Some-college,Never-married,Prof-specialty,0,0,30
Private,7th-8th,Never-married,Craft-repair,0,0,50
Private,Assoc-voc,Married-civ-spouse,Sales,0,0,40
Federal-gov,Prof-school,Never-married,Prof-specialty,0,0,55
Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,0,0,33
Private,HS-grad,Married-civ-spouse,Adm-clerical,0,0,40
Local-gov,Bachelors,Married-civ-spouse,Farming-fishing,7298,0,40
Private,HS-grad,Never-married,Handlers-cleaners,0,0,40
Private,HS-grad,Never-married,Other-service,0,0,40
Private,HS-grad,Never-married,Craft-repair,0,0,40
Private,HS-grad,Never-married,Exec-managerial,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,55
Self-emp-inc,Some-college,Separated,Sales,0,0,40
Private,Some-college,Divorced,Exec-managerial,0,0,38
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,0,0,36
Private,10th,Never-married,Prof-specialty,0,0,40
Private,Masters,Never-married,Sales,0,0,50
Private,HS-grad,Never-married,Exec-managerial,0,0,20
Private,Some-college,Married-civ-spouse,Adm-clerical,0,0,50
Private,HS-grad,Never-married,Other-service,0,0,40
Federal-gov,Masters,Married-civ-spouse,Transport-moving,0,0,40
Private,Masters,Never-married,Exec-managerial,0,0,80
Private,5th-6th,Married-civ-spouse,Prof-specialty,0,0,40
Private,Assoc-voc,Married-civ-spouse,Other-service,0,0,40
Private,11th,Never-married,Adm-clerical,0,0,20
Private,11th,Never-married,Prof-specialty,0,0,15
